customerID,gender,age,income,purchaseAmount,purchaseDate,productCategory
1,Male,46,32332,414.85,2019-09-21,Electronics
2,Male,53,77870,809.36,2020-09-17,Beauty
3,Male,42,71907,405.32,2020-07-02,Books
4,Female,50,76648,799.76,2019-11-16,Books
5,Male,65,63533,136.52,2019-09-03,Electronics
6,Male,34,22513,921.41,2020-07-29,Clothing
7,Male,39,29829,742.54,2019-02-05,Clothing
8,Male,34,50330,715.72,2019-04-02,Toys
9,Female,54,58047,897.29,2020-10-28,Books
10,Male,28,69074,60.23,2020-05-17,Toys
11,Male,25,21850,275.48,2019-02-16,Beauty
12,Male,59,94048,513.01,2020-12-24,Clothing
13,Male,55,92018,128.97,2020-12-27,Beauty
14,Male,26,80298,157.08,2019-06-26,Electronics
15,Male,40,95394,751.39,2019-10-05,Beauty
16,Male,62,75498,668.35,2020-01-17,Books
17,Female,61,34841,598.14,2019-11-27,Toys
18,Male,47,63413,200.67,2019-03-09,Beauty
19,Female,61,75841,870.13,2019-03-26,Electronics
20,Male,41,82755,583.34,2020-11-18,Electronics
21,Male,30,48811,511.31,2020-02-27,Beauty
22,Male,37,67318,108.37,2019-08-26,Clothing
23,Male,18,89836,998.5,2019-10-17,Clothing
24,Male,20,33799,850.08,2020-05-05,Electronics
25,Male,32,80291,864.96,2019-03-13,Clothing
26,Female,64,67948,768.26,2019-09-06,Electronics
27,Male,23,60669,522.03,2019-12-05,Clothing
28,Female,44,93508,278.44,2019-07-31,Toys
29,Male,20,69091,786.62,2019-01-03,Beauty
30,Female,19,62686,872.39,2020-08-31,Books
31,Male,20,81811,579.22,2019-04-13,Beauty
32,Female,35,90333,227.51,2020-11-15,Toys
33,Female,42,80708,562.02,2019-02-17,Books
34,Male,50,89107,597.83,2020-06-11,Books
35,Female,20,34909,207.08,2020-06-01,Books
36,Female,21,26779,591.4,2019-05-29,Beauty
37,Male,34,78329,400.09,2019-10-25,Electronics
38,Male,38,38456,435.95,2019-09-03,Books
39,Female,47,65416,405.8,2020-05-31,Toys
40,Female,46,50200,879.34,2019-04-05,Clothing
41,Male,39,43233,10.75,2019-06-28,Toys
42,Female,20,30709,516.24,2020-07-14,Toys
43,Female,37,28193,209.41,2019-05-30,Beauty
44,Male,29,73510,117.23,2020-12-13,Books
45,Female,46,53595,585.22,2019-05-03,Books
46,Female,31,85245,408.95,2019-01-02,Electronics
47,Male,47,48384,302.63,2019-03-30,Beauty
48,Female,36,39392,214.02,2019-06-16,Beauty
49,Male,52,29535,647.26,2020-01-03,Books
50,Male,49,26631,956.32,2020-04-25,Toys
51,Male,22,20682,27,2020-09-25,Beauty
52,Female,59,34036,54.72,2019-04-22,Books
53,Female,31,97670,689.59,2020-09-18,Clothing
54,Female,47,75901,663.94,2020-07-13,Clothing
55,Male,24,81598,978.41,2019-06-17,
56,Female,33,39524,639.57,2019-12-14,Beauty
57,Female,49,45317,953.61,2020-01-11,Clothing
58,Male,62,37687,65.7,2020-02-18,Books
